unit_id,X1_team_size,X2_avg_employee_age,department,role_level,remote_ratio,digital_maturity_score,A_copilot_treatment,Y_observed_productivity_outcome,Y0_no_copilot,Y1_with_copilot,true_treatment_effect,propensity_score
1,11,35.64,Finance,Manager,0.1,0.09,0,64.357,64.357,68.437,4.08,0.5778
2,6,33.59,HR,Senior,0.42,0.96,1,69.698,63.878,69.698,5.82,0.6099
3,11,35.17,Marketing,Senior,0.14,0.4,1,74.83,69.03,74.83,5.8,0.6693
4,8,36.45,Operations,Entry,0.27,0.21,0,62.483,62.483,66.803,4.32,0.5036
5,13,48.48,Marketing,Entry,0.45,0.32,1,78.278,72.638,78.278,5.64,0.8957
6,11,33.45,Finance,Mid,0.37,0.64,0,71.08,71.08,76.26,5.18,0.7081
7,11,32.9,Marketing,Entry,0.43,0.4,1,74.01,68.21,74.01,5.8,0.6227
8,3,35.99,Engineering,Mid,0.41,0.42,1,62.274,57.534,62.274,4.74,0.3468
9,14,38.97,Operations,Manager,0.13,0.93,1,77.552,71.792,77.552,5.76,0.9113
10,12,30.44,Customer Support,Entry,0.84,0.29,1,71.326,65.746,71.326,5.58,0.5758
11,12,30.38,Marketing,Mid,0.56,0.43,0,67.226,67.226,73.086,5.86,0.6216
12,11,29.12,Sales,Manager,0.57,0.68,1,69.169,62.809,69.169,6.36,0.6347
13,9,33.01,HR,Entry,0.35,0.32,0,63.694,63.694,68.234,4.54,0.5097
14,12,32.55,HR,Senior,0.65,0.65,1,76.226,71.026,76.226,5.2,0.731
15,8,32.14,Legal,Entry,0.06,0.77,1,73.405,67.965,73.405,5.44,0.6012
16,8,44.68,Legal,Senior,0.24,0.8,1,76.25,70.75,76.25,5.5,0.8293
17,16,36.54,Marketing,Senior,0.64,0.7,1,84.377,77.977,84.377,6.4,0.8955
18,10,35.6,Engineering,Entry,0.59,0.57,1,72.678,67.638,72.678,5.04,0.6905
19,6,33.75,Finance,Manager,0.22,0.95,0,61.756,61.756,67.556,5.8,0.6101
20,7,36.13,Marketing,Entry,0.74,0.04,0,61.881,61.881,66.961,5.08,0.3936
21,8,22.34,Customer Support,Mid,0.74,0.89,0,59.652,59.652,66.432,6.78,0.4247
22,9,34.21,Customer Support,Mid,0,0.96,0,64.955,64.955,71.875,6.92,0.7395
23,6,36.96,Finance,Mid,0.93,0.21,0,61.892,61.892,66.212,4.32,0.4256
24,12,29.47,HR,Senior,1,0.12,1,69.471,65.331,69.471,4.14,0.495
25,8,35.73,Operations,Entry,0.31,0.5,0,65.061,65.061,69.961,4.9,0.5881
26,11,32.45,Legal,Senior,0.29,0.68,1,72.154,66.894,72.154,5.26,0.701
27,12,41.69,Finance,Entry,0.33,0.48,1,75.079,70.219,75.079,4.86,0.8297
28,7,28.86,Finance,Senior,0.19,0.33,0,58.473,58.473,63.033,4.56,0.3361
29,6,25.07,Engineering,Mid,1,0.81,1,65.716,60.196,65.716,5.52,0.3705
30,7,31.33,Legal,Manager,0.79,0.61,1,64.797,59.677,64.797,5.12,0.4833
31,9,31.65,HR,Manager,0.57,0.22,0,66.693,66.693,71.033,4.34,0.4444
32,14,35.5,Finance,Entry,0.08,0.66,1,77.069,71.849,77.069,5.22,0.8374
33,10,39.08,Marketing,Entry,0.35,0.95,1,77.939,71.039,77.939,6.9,0.8385
34,12,39.79,Operations,Entry,0.03,0.73,1,77.103,71.743,77.103,5.36,0.8536
35,14,24.74,Legal,Mid,0.45,0.7,0,71.825,71.825,77.125,5.3,0.674
36,11,35.7,HR,Entry,0.05,0.53,1,70.957,65.997,70.957,4.96,0.718
37,15,24.49,HR,Manager,0.47,0.95,1,78.308,72.508,78.308,5.8,0.7745
